id,line_position
77873,1.0 / 1.1
71069,Pos. 2.0
52688,6.4
49353,Pos 4.0
40161,4.0
32150,2.0
112703,1.0
45811,7.0
69579,2.0
68321,2.0
39007,2.0
39307,6.0
37873,2.0
72235,1.0
70249,1.0
58139,4.0
112704,20.0
46016,110.1
33591,Pos.1.0
59854,2.0
71733,40
40405,1.0 + 2.0 + 3.0
60523,Pos 2.5
57680,2.0
73721,15.2
71706,1.1
78720,Pos. 3.0
77883,Pos. 3.0
50868,4
55401,4.1
59361,1.0
56636,1
66303,2.0
63352,3
35582,4.0
52357,3.0
54950,2.2
56967,1c
42075,1
67004,2.0
69724,7.0
71735,40
74973,Pos. 2.0
45583,2.0
48104,Enseigne intérieur
74320,11.0
79976,1
49256,1.0
45582,1.0
47879,0.6a
42740,11.0
76455,2 a & b
54740,5.1
57040,5
56943,1.0 & 2.0
66272,15.0
62794,1.0
77708,2.1
57630,1.0
54786,4.0 + 5.0
56971,4a
48685,2
47910,5.0
42748,9.6
45994,2.0
64838,1.0
41517,1.0
40389,Pos.6.0
52538,1.0
51630,4.0
50772,4.0
31963,Pos. 1.5
38242,2.0
78703,"2.0,3.0 & 4.0"
69981,6.0
76409,1
43825,16.0
60037,2.5
56123,3.0
59857,2-9
31870,2.0
74974,Pos. 2.0
72984,1.0
65168,230
39305,5.0
48888,Pos.1.0
40547,1
76348,2.0
64122,2.0
69710,3.1
56619,3.1
41551,2.1
44034,1.0
76849,160
78368,Pos. 5
74314,6.0
35062,1.0
43233,1.0
48797,1.0
67734,Pos 1.0
78726,Pos. 1.0 + 1.5
93672,3.0
121288,6.0
58439,1.0
56621,4.0
56620,3.2
59093,Pos. 1.0
71293,1.0
61841,1.0
75395,Pos. 20
49661,4.0
34404,Pos.3.0
51038,3
40915,Pos. 3.0
42995,13.0
46805,2.0
52061,2.0
50273,Pos 1.0
78364,Pos. 2.1
69471,4.0
68313,2.1
52028,Pos 2.0
56617,2.0
54671,1.5 (Variante)
37746,8.0
41903,Pos.1.0
46836,1.0
45563,1.0
67684,13.1
66560,5.0
76167,300 / 301
77872,1.0 / 1.1
71610,3.1
48153,2.0
58985,6.0
54184,8.0
52775,4.0
113659,20
71679,15.0-15.3
52694,9.3
49942,61.0
36089,Pos.4.0
40148,1.0
78813,160
69470,2.0
69645,1.0 + 3.0
57684,2.0
52356,2.0
75903,15.0
68422,1.1
68218,110.0
38237,1.0
37588,Pos 2.0
31930,1.0
60730,3.0
69910,3.0
42870,2.2
78354,2.2
74319,10.0
52691,8.0
56852,1
53904,1.0
69662,2.1
46863,10.1
45564,2.0
43059,1
39844,Pos.14.1
51724,3.0
58684,1.0
79355,1.0
45709,1.0
40160,3.0
43816,10.0
66555,1.0
66275,18.0
76773,3.0
49947,12.0
47744,1.0
68096,24.0
69302,3
73720,15.1
72989,4.0
73843,1.4
57686,1.0
35334,3.0
70833,1.0 & 2.0
74603,90
41771,8
65356,5.0
47884,0.6b
49258,3.0
43052,2.0
71746,42
76886,1.0
72968,2.0
39010,6.0
39300,3.0
121963,POS. 1
68831,3.0
60885,7.0
67814,5.0
33604,Pos.5.0
34410,Pos.9.0
71738,41
40149,2.0
43874,3.0
58143,8.0
56970,3a
64640,1.0
39092,2.1.1
37590,Pos 3.0
76345,2.0
54200,1
75609,1.0
71294,3.0
121964,POS. 2
56984,6
57634,2.0
49288,5.0
38829,3.0
56634,4
50274,Pos 2.0
72455,1.0
121954,1
39146,1.0
56562,3.0
54235,8.0
63918,1.1
69346,2.0
66561,10.0
78820,1.0
40776,30
58141,6.0
58160,1
72301,3.0
71051,16-20
36065,50_06
63291,3.0
50381,13
37743,4.0
47881,0.1b
68208,5.1
64113,6.0
85543,2.0
51157,3.0
75385,10.1
39298,2.0
35583,5.0
40123,Pos 1.0
63350,1
52682,4.0
79051,Pos. 2
77887,Pos. 4.0
55650,2.0
51626,2.0
44353,2
68942,Pos. 1.0
62736,1.0
74321,12.0
47848,165
63235,2.3
69901,220 - 222
69909,1.0
78135,6.0
71724,30
71752,50
32289,2.0
31962,Pos. 1.0
47922,2
46015,5.0
78356,3.2
77394,1.0
53338,1.0
60745,3.0
33489,4
76349,3.0
44477,01
47552,1.0
50771,3.0
69463,4.0
49944,66.0
78389,Pos. 1.0 + 1.5
71771,2.0
74323,14.0
46793,1.0
43993,1.0
48108,1.0
36198,210.0
54171,1.0
68629,17.1
71690,30.0 - 30.12
72311,Pos 1.0
51620,23.0
54922,Pos 1.0
42232,2.0
79432,2.0
71850,1.0
40859,1.0
35400,2.0
58853,20.0
78357,3.3
79054,Pos. 4
78390,Pos. 1.0 + 1.5
31925,Pos.2.0
49046,1.0
48400,1.0
49287,4.0
53914,1.0
53444,1.0
121905,3
76458,4
71057,Pos. 3.0
37586,Pos 1.0
61954,2.0
65355,4.0
41819,P1 - P8
66260,3.0
66262,5.0
49641,2.0
49262,9.0
43712,1.0
42737,4.0
114998,20.0
74155,2.4
52697,1.0
62739,3.1
62740,4.1
75394,Pos. 8.0
74789,1
58144,9.0
59856,1
50865,2
67745,Pos 11
66666,position 12
66558,3.0
60825,3.0
52676,1.2
50383,14
32648,Pos.6.0
69949,11.0
69656,4.0
67275,1.0
45711,3.0
48891,Pos.4.0
63031,2+5+11
69043,1.0
47385,4
46899,Pos.1.0
52773,2.0
71060,Pos. 5.0
35184,Pos.2.0 Façade
69591,Pos. 1.0
56946,2.0
59099,4.0
40914,Pos. 1.0
75514,Pos. 2.0
77588,9.0
33601,Pos.2.0
54716,2.0
64166,Pos.10.0
67741,Pos 7.0
79049,Pos.1
76257,1.0
56877,Pos 2.0
33268,6.0
33570,4.0
61960,8.0
69626,1.0
77200,10.1
71732,40 / 41
71542,10
71540,3.0
41907,Pos.3.0
43294,Pos. 2.0
43821,13.0
54178,4.0
58590,Pos.1
55942,1.0
34361,2
49648,8.0
78504,1.0
77404,4.0
37099,1.0
59858,2-9
40152,5.0
52724,1.0
60244,30
61834,4
60245,31
69707,1.0
57792,Pos.2.0
71539,2.0
76318,35.0
73710,4.0
31855,1.0
56855,4
59341,1.0
65163,70
69741,1.1
49647,7.0
51629,3.1
72721,1.0
74347,12.1
71750,42
39314,10.1
50373,1.0
50215,1.0
48415,2.1
75386,65.0
66994,8.0
66618,11.0
62619,1
56973,5a
57934,2
40404,2.0
57310,1.0
62738,2.1
64110,4.0
121906,4
40464,1.0
56982,10a
52774,3.0
52337,2.0
57139,3.1
64112,5.0
77901,2.1
72312,Pos 2.0
54365,Pos.7.0
58508,1.0
37283,090.0
71737,40 / 41
48483,11.0
42973,2
65794,40
69740,1.0
57347,20_00
121907,5
68217,110.0
39565,2.0
49659,1.0
63268,1.0
66280,23
64116,8.0
68216,110.0
76419,2.1
78497,1.0
37748,10
54180,6.0
51851,3.0
50773,5.0
60280,2.0
66644,2.1
61953,1.0
52060,1.0
58984,4.0
55409,4.0
72408,Pos. 11.0
76771,1.3
77402,3.0
78906,Pos. 4.0
31617,Pos.2.0
120369,1.0
66287,30
43818,11.0
61963,10.0
45053,1.0 / 2.0
70859,3.0
50301,Pos 2.0
32287,1.0
60743,1.0
66264,7.0
64841,3.0
