id,xx_nbre_tablettes
348999,Copy 348999
346981,Copy 346981
348295,Copy 348295
348611,Copy 348611
345106,Copy 345106
348085,Copy 348085
348620,Copy 348620
346376,Copy 346376
345105,Copy 345105
346623,Copy 346623
348124,Copy 348124
348084,Copy 348084
348086,Copy 348086
348119,Copy 348119
348101,Copy 348101
348638,Copy 348638
348651,Copy 348651
348627,Copy 348627
349005,Copy 349005
346048,Copy 346048
348046,Copy 348046
348135,Copy 348135
346049,Copy 346049
342746,Copy 342746
344772,Copy 344772
343774,Copy 343774
344370,Copy 344370
342736,Copy 342736
348686,Copy 348686
348576,Copy 348576
342459,Copy 342459
348579,Copy 348579
338309,Copy 338309
347927,Copy 347927
348505,Copy 348505
348578,Copy 348578
348577,Copy 348577
337585,Copy 337585
349004,Copy 349004
349006,Copy 349006
349064,Copy 349064
349075,Copy 349075
349078,Copy 349078
349084,Copy 349084
349091,Copy 349091
