id,page_break,position
260283,f,
50517,f,
50518,f,
260284,f,
260285,f,
31037,,120.0
31038,,130.0
70906,f,
70907,f,
70908,f,
70909,f,
70910,f,
70911,f,
70913,f,
70917,f,
70918,f,
70921,f,
41272,,1.6
60608,f,
60609,f,
60610,f,
60611,f,
60612,f,
60613,f,
60614,f,
60615,f,
60616,f,
60617,f,
60620,f,
60621,f,
60622,f,
60623,f,1
60628,f,
60629,f,
60632,f,
60633,f,
60634,f,
60636,f,
60638,f,
60639,f,
60640,f,
60641,f,
50519,f,
60642,f,
50520,f,
50521,f,
60643,f,
60644,f,
50522,f,
50523,f,
70882,f,
70883,f,
70884,f,
70886,f,
334196,f,
334197,f,
31041,,103.0
260286,f,
31044,,2
260287,f,
338551,f,
31056,,102.0
31057,,104.0
60656,f,
60658,f,
50524,f,
41275,,1.7
60675,f,
60677,f,
60680,f,
60682,f,
60683,f,
60688,f,
60698,f,
31068,,105.0
340149,f,5
50549,f,
70952,f,
70954,f,
31133,,102.0
60715,f,
60716,f,
60717,f,
31710,,40
51093,f,
336664,f,
334198,f,
31183,,2
50574,f,
50581,f,
50588,f,
50590,f,
50591,f,
50592,f,
50594,f,
334199,f,
50596,f,
50597,f,
50598,f,
50599,f,
50618,f,
62993,f,
90390,f,
332090,f,50
50621,f,
50660,f,
50661,f,
50662,f,
50663,f,
50664,f,
50821,f,
50822,f,
50852,f,
50853,f,
50856,f,
338577,f,
50863,f,
60776,f,
60777,f,
60778,f,
60781,t,
60782,f,
60783,f,
70992,f,3
70993,f,4
70996,f,
71006,f,
71008,f,
71010,f,
71014,f,
71015,f,
71017,f,
338378,f,
31213,t,
31216,,100.0
31219,,103.0
31220,,103.1
31221,,103.2
31222,,103.3
31224,,105.0
60784,f,
60785,f,
60786,f,
60787,f,
60788,f,
90396,f,
60789,f,
60790,f,
60791,f,
60792,f,
60793,f,
60794,f,
60805,f,
60812,f,
60813,f,
338379,f,
60817,f,3
60819,f,
31225,,106.0
50876,f,
50877,f,
50878,f,
50879,f,
50888,f,
50890,f,
50893,f,
50894,f,
50895,f,
50896,f,
50897,f,
71053,f,6.0
71059,f,
71060,f,
71062,f,
71063,f,
71068,f,
71069,f,
71070,f,
71071,f,
330724,f,
31257,,10.0
31260,,20.0
31262,,30.0
90397,f,
60831,f,
60834,f,
60835,f,
60836,f,
60837,f,
60838,f,
60839,f,
60840,f,
71072,f,
60832,f,
71086,f,
71089,f,
330725,f,
71098,f,
50904,f,
50906,f,
50907,f,
50909,f,
50910,f,
50912,f,
56411,f,
50915,f,
50916,f,
50917,f,
50918,f,
50919,f,
50920,f,
50921,f,
50922,f,
50923,f,
50924,f,
50925,f,
90398,f,
60841,f,
340873,f,
60842,f,
60843,f,
60844,f,
60847,f,
60848,f,
60849,f,
60850,f,
60851,f,
60852,f,
60853,f,
60854,f,
89518,f,
56413,f,
50937,f,
50938,f,
50944,f,
50946,f,
50947,f,
50950,f,
50952,f,
50953,f,
50955,f,
50956,f,
50958,f,
60859,f,20.0
60860,f,40.0
60861,f,110
60862,f,20
60871,f,
60864,f,
60866,t,
60867,f,
60868,f,
50959,f,
50961,f,
50962,f,
50963,f,
60872,f,
60874,f,
50980,f,
51086,f,
51087,f,
51088,f,
71194,f,
71200,f,
71207,f,
71208,f,
60906,f,
83400,f,
72244,f,
50981,f,
50982,f,
50983,f,
50984,f,
50985,f,
50986,f,
50987,f,
50988,f,
330731,f,
50991,f,
60907,f,
340874,f,
60908,f,
50993,f,
50995,f,
71214,f,
71215,f,
71216,f,
228021,f,
60898,f,
60899,f,
60904,f,
60905,f,
51003,f,
51004,f,
51020,f,
51022,f,
51025,f,
60915,f,
71283,f,
340875,f,
71284,f,
71285,f,
71307,f,
71309,f,
71312,f,
71324,f,
71313,f,
71314,f,
71315,f,
71316,f,
71317,f,
330728,f,
71319,f,
71320,f,
71321,f,
71322,f,
81630,f,
71323,f,
71325,f,
71326,f,
71327,f,
71328,f,
71329,f,
71331,f,
71334,f,
71335,f,
71336,f,
71342,f,
71361,f,
71362,f,
60916,f,
330729,f,
60917,f,
41614,,2
51026,f,
51027,f,
51028,f,
51035,f,
51036,f,
51037,f,
51038,f,
51040,f,
51041,f,
51042,f,
51043,f,
51044,f,
51045,f,
51046,f,
51047,f,
51048,f,
60918,f,
338373,f,
60930,f,
330730,f,
60919,f,
60931,f,
60932,f,
226907,f,
60922,f,
60923,f,
60924,f,
60925,f,
60926,f,
60934,f,
60935,f,
60936,f,
60937,f,
60938,f,
60942,f,
60943,f,
60946,t,1
60947,f,2
60948,f,
61017,f,
61022,f,
61024,f,
342734,f,
61031,f,
61032,f,
31486,,2.0
31487,,3.0
51066,f,
31488,,4.0
31489,,5.0
31490,,6.0
31491,,7.0
339505,f,
31493,,10.0
31494,,11.0
31495,,12.0
31496,,20.0
31497,,30.0
339506,f,
31532,,1.1
31533,,1.2
31537,,3
31540,,4
51060,f,
51061,f,
51062,f,
51067,f,
51068,f,
51069,f,
51070,f,
51071,f,
51072,f,
51073,f,
51074,f,
51079,f,
51080,f,
51081,f,
51082,f,
71465,f,
71467,f,
71468,f,
71476,f,
71478,f,
61033,f,
61034,f,
61035,f,
61036,f,
61037,f,
61038,f,
61039,f,
61040,f,
61041,f,
61042,f,
61043,f,
80586,f,
61044,f,
61045,f,
61047,f,
61048,f,
61049,f,
61050,f,
61051,f,
61052,f,
61053,f,
51083,f,
51101,f,
51102,f,
51104,f,
51105,f,
71479,f,
71481,f,
71482,f,
71483,f,
71484,f,
71485,f,
71486,f,
71487,f,
71488,f,
51106,f,
51107,f,
51108,f,
51109,f,
51110,f,
51111,f,
51112,f,
51113,f,
51114,f,
51116,f,
51117,f,
51118,f,
51119,f,
51120,f,
51121,f,
51122,f,
51123,f,
51124,f,
51125,f,
51126,f,
51128,f,
339016,f,
339017,f,
339018,f,
31604,t,
339507,f,
31617,f,
61055,f,
61056,f,
61057,f,
61058,f,
61059,f,
61060,f,
61061,f,
61062,f,
61063,f,
61064,f,
61065,f,
61067,t,
61068,f,
61072,f,
61074,f,
61075,f,
61076,f,
32033,,104
71553,f,2
71542,f,
71543,f,
314047,f,20
71545,f,
71547,f,
71552,f,1
71556,f,3
71557,f,
71558,f,
41727,,3
314170,f,20.5
61077,f,
61078,f,
61079,f,
61080,f,
61089,f,
61090,f,
61094,f,
61097,f,
61098,f,
61099,f,
61104,f,
61106,f,
61109,f,
314171,f,20.6
343150,f,
51129,f,
51130,f,
51131,f,
51132,f,
51133,f,
51134,f,
51135,f,
51136,f,
51137,f,
31687,,2
71582,f,
71583,f,
71585,f,2
71591,f,
71592,f,
71593,f,
71594,f,
71595,f,
62686,f,
71596,f,
51169,f,
51176,f,
51182,f,
51183,f,
51184,f,
51187,f,
61114,f,
61117,f,
61118,f,
61120,f,
61121,f,
61122,f,
31709,,30
31711,,50
31713,,2
71597,f,
71600,f,
71601,f,
71602,f,
71603,f,
71605,f,
71618,f,
71619,f,
71621,f,
81631,f,
71623,f,
71636,f,
71638,f,
71639,f,
71643,f,
51188,f,
51189,f,
51190,f,
51191,f,
51192,f,
51193,f,
51194,f,
51195,f,
51196,f,
51197,f,
51198,f,
51204,f,
51218,f,
73147,f,
314015,f,100
71709,f,
314016,f,111
31732,,121.5
317835,f,
73148,f,
343889,f,
31736,,201.0
31738,,202.0
31740,,205.0
314017,f,120
51228,f,25.5
51229,f,4
71680,f,
71681,f,
314022,f,170
71751,f,
51288,f,
51290,f,
51291,f,
51292,f,
51293,f,
51294,f,
51295,f,
51296,f,
51289,f,
51304,f,
213204,f,
51297,f,
51298,f,
51299,f,
51300,f,
51301,f,
51305,f,
51306,f,
51307,f,
51308,f,
51309,f,
342641,f,
51314,f,2
51315,f,3
71710,f,
71711,f,
71712,f,
71719,f,
71720,f,
71721,f,
71722,f,
71724,f,
71725,f,
71726,f,
71749,f,
71750,f,
61159,f,
31769,,20
61160,f,
61161,f,
80031,f,
80032,f,
80033,f,
80034,f,
80035,f,
80036,f,
80037,f,
80038,f,
80039,f,
80040,f,
80044,f,
61162,f,
61163,f,
61164,f,
342640,f,
61166,f,
61170,f,
61171,f,
61175,f,
61176,f,
61177,f,
61178,f,
61179,f,
61180,f,
61181,f,
31767,,3
51322,f,
51323,f,
51325,f,
51327,f,
51331,f,
51332,f,
51333,f,
51339,f,
51344,f,
51345,f,
51347,f,
51348,f,
61182,f,
61187,f,
61188,f,
61189,f,
61190,f,
61191,f,
61192,f,
61193,f,
61198,f,
61199,f,
61200,f,
42202,,3
71752,f,
71753,f,
71755,f,
71758,f,
71759,f,
71761,f,
71762,f,
71763,f,
71764,f,
71766,f,
71780,f,
71781,f,
71782,f,
71784,f,
71786,f,
71789,f,
80100,f,
51349,f,
51353,f,
80115,f,
80118,f,
61205,f,
80119,f,
80122,f,3
80123,f,4
80125,f,6
55910,f,
80126,f,
80127,f,
80128,f,
80130,f,
80131,f,
80132,f,
80133,f,
51393,f,
80134,f,
80135,f,
80136,f,
80137,f,
80138,f,
200104,f,
80140,f,
80141,f,
80142,f,
80143,f,
80144,f,
80145,f,
73149,f,
61201,f,
61202,f,
61203,f,
61204,f,
61207,f,
61209,f,
61210,f,
61212,f,
61215,f,
61241,f,
61242,f,
61249,f,
61251,f,
61253,f,
200106,f,
61256,f,
61258,f,
61259,f,
61260,f,
73150,f,
339788,f,
31871,,2.1
31872,,2.2
339315,f,
31875,,3.1
31876,,3.2
71790,f,
71791,f,
80162,f,
71798,f,
71799,f,
71800,f,
61261,f,
61262,f,
61263,f,
61271,f,
61273,f,
61286,f,
61287,f,
80150,f,
225213,f,
80154,f,
80159,f,
80163,f,
61326,f,
61330,f,
51370,f,
51372,f,
51373,f,
51375,f,
71830,f,
71831,f,
71833,f,
71834,f,
71835,f,
71836,f,
71838,f,
71840,f,
225184,f,
51379,f,
51382,f,
51383,f,
51384,f,
51385,f,
51391,f,
51392,f,
51394,f,
51395,f,
51396,f,
51397,f,
51403,f,
51406,f,
51408,f,
225201,f,
51410,f,
51411,f,
51412,f,
71842,f,
71844,f,
71846,f,
80183,f,
225203,f,
31970,,2
31971,,3
225204,f,
225206,f,
58006,f,
51416,f,
51418,f,
51419,f,
51421,f,
51422,f,
51423,f,
51424,f,
51430,f,
80177,f,
80178,f,
80180,f,
80181,f,
80182,f,
61345,f,
61360,f,
71891,f,
71892,f,
71893,f,
71894,f,
71895,f,
71900,f,
71901,f,
71903,f,
71904,f,
71905,f,
71931,f,
71933,f,
80184,f,
80185,f,
80186,f,
80187,f,
80188,f,
225207,f,
80190,f,
80191,f,
58008,f,
225208,f,
32034,,105
225209,f,
61361,f,
71972,f,
71975,f,
51483,f,3
71989,f,
72006,f,
72007,f,
72008,f,
72009,f,
72011,f,
72013,f,
72017,f,
72019,f,
72122,f,
72023,f,5.0
72026,f,
340344,f,
72030,f,
342639,f,
72031,f,
72033,f,
72034,f,
72036,f,
72051,f,
72052,f,
56415,f,
72053,f,
72054,f,
72055,f,
72056,f,
73151,f,
80587,f,
72124,f,
61395,f,
61404,f,3
61405,f,
61407,f,
61408,f,
61409,t,
61413,f,
61414,f,
61415,f,
61416,f,
61417,f,
61418,f,
61419,f,
61425,f,
336363,f,
336364,f,
72057,f,
332524,f,
332527,f,
332530,f,
72060,f,
72062,f,
72063,f,
72073,f,
51569,f,
51575,f,
51578,f,
51581,f,
299233,f,
51583,f,
51585,f,
51586,f,
51587,f,
332535,f,
80249,f,
80251,f,
318176,f,
80253,f,
80255,f,
80256,f,
80270,f,
51588,f,
51589,f,
51598,f,
51603,f,
51605,f,
51610,f,
51611,f,
61426,f,
61427,f,
61430,f,
61431,f,
61432,f,
61433,f,
61434,f,
61435,f,
61436,f,
61437,f,
61438,f,
61455,f,
61456,f,
61457,f,
61458,f,
61460,f,
32125,,2
72080,f,
72081,f,
72082,f,
223217,f,
72086,f,
72088,f,
72090,f,1.1 / 3.1
