id,line_position
74061,6.0
74062,7.5
64353,Pos. 2.0
74140,1.0
74184,10 / 11
74271,2.0
74272,1
74274,1.0
74281,Pos. 4.0
74283,Pos. 3.0
74297,1.0
43384,1.0
43385,2.0
43386,3.0
43387,3.0
43401,Pos. 2.0
43402,Pos. 3.0
43406,1.0
43416,1.0
43499,1
33859,1.0
33860,1.0
33861,2.0
74364,Pos. 2
74365,Pos. 1
74366,Pos. 2
74367,Pos. 1
74368,Pos. 2
43298,6
43307,2.0
43308,2.0
64504,10.1
64517,1.1
64519,1.2
74390,5.0
74394,5.0
64410,5.0
64433,1.0
64434,4.0
43537,Pos. 151
64594,3.0
74395,7.0
74397,100
74399,110
74450,3.0
74451,3.5
74452,4.0
74453,5.0
74454,6.0
74455,7.0
43568,1.0
43583,2
43584,1.1
43585,1.2
43586,1.3
43590,1
43596,7.0
43598,1.0
43599,3.0
43616,1
53412,4.0
74496,Pos. 3.0
74497,2.0
33934,12
34024,4.0
34031,1.0
64639,70.0
64640,71.0
64641,210 - 216
64642,220 - 222
34062,Pos 1.0
34078,4.0
34081,2.0
34082,Pos. 1.0
34083,Pos. 2.0
34095,1.0
34201,1.0
64660,1.0
64663,1
64664,2
33914,Pos 4.0
33933,11
53677,1.0
53678,1.0
53679,2.0
34401,Pos.1.0
34403,Pos.1.0
34408,1.0
34409,1.1
34410,3.0
34411,4.0
34412,5.0
53455,div.
53456,3.0
53474,2.0
53475,2.0
53477,11
53478,12.5
53549,2.0
53550,1.0
53551,2.0
53629,4.0
53631,7.0
53633,3.0
53635,3.0
53637,3.0
53641,1.0
53642,1.0
53741,2.0
53742,5.0
53743,8.0
53748,1.0
53751,1.0
74503,Pos. 4.0
53795,3.0
64791,1.0
64802,6.0
64804,14.0
64806,13.0
74570,Pos.1
43682,2.1
43707,51.0
64864,5.0
64883,2
64885,Pos 5.0
64892,Pos 1.0
64896,Pos 2.0
64897,POs 3.0
64898,Pos 6.0
64899,Pos 7.0
64904,1.1
64905,2.1
64926,30
64927,30
64928,40
64929,40
64930,42
64931,42
64939,4.0
65012,1.0
65014,2.0
65016,2.0
65023,150-152
65024,100-103
65025,120-121
65026,120-121
43798,1
43799,2
65027,110.0
65028,110.0
65029,110.0
65031,1.0
65033,4.2 & 6.2
65034,4.1 & 6.1
65035,3.5 & 10.5
65037,2.5
65038,23.0
65040,8.5
65041,18.0
65043,70
65054,1.0
65063,19.0
65069,1.0
65070,1.0
65071,2.0
65072,3.0
65074,1.0 + 2.0
65075,3.0
65076,4.0
65077,2.0 + 3.0
44226,4.0
34793,50_06
43837,4.0
43839,Pos. 2.0
43889,Pos. 3.0
43908,30.0-38.0
53990,Pos 2.5
74712,2.0
74713,2.1
74714,2.2
74725,1.1-1.3
34818,1.0
34819,2.0
34820,3.0
43982,Pos.1.0
44027,4.0
74761,2.0
74762,1.0
65142,5.0
65143,7.0
65144,9.0
44189,9.0
44191,10.0
44193,16.0
44222,2
34925,Pos.6.0
34927,Pos.4.0
34941,Pos.7.0
54244,1.1
54245,2.1
54246,2.2
74799,3.0
74800,3.1
74801,5.0 + 5.1
74803,6.0
74810,4.0
44496,2.0
44550,Pos 1.0
44551,Pos 2.0
44583,1.0
65157,3.0
65158,2.0
65166,2
65231,3.1
35001,Pos 1.0
35015,1.0
35018,2.0
35022,1.0
35023,3.0
35024,4.0
35025,4.0
35026,5.0
35027,6.0
35037,1.0
35038,1.0
35039,2.0
35040,3.0
35041,4.0
35042,4.0
35043,5.0
35044,6.0
44621,3.0
44624,1.0
44628,1.0
54290,1.0
54291,1.5 (Variante)
54301,3.0
54311,Pos 3.5
54320,1.0
54322,1.0 / 2.0
35145,1.1
35146,5.0
35187,3.0
35188,2.0
44700,2.0
44704,5.0
44707,4.0
44768,Pos.4.0
44780,1.0
44782,1.0
44784,1.1
44785,1.2
44787,Pos.1.0
44789,2.0
44791,4
44792,1.0
44805,1
44807,Façade Nord
44808,1.0
44847,1.0
44848,1.0
44861,2.0
35221,1.0
35244,1
35246,6.0
35250,100
35273,Pos.2.0
35287,1.0
35288,1.0
35298,Pos.1.0
35300,1.0 + 2.0 + 3.0
74974,Pos. 2.0
74976,Pos. 6.0
74978,Pos. 2.0
75025,1
75074,2
75084,3.0
44887,1.0
44891,1.0
44901,1.0
44926,Pos. 1.0
65278,12.0
65343,Pos 4.0
65356,1.0
65370,2.0
45003,3.0
45004,3.1
45006,1.0
45032,3
54423,9.2
35341,1.0
65405,Pos. 11.0
65407,Pos. 11.1
65410,15.0-15.3
65413,22.0 / 24.0
65416,21.0 / 23.0
65418,20.0
65421,30.0 - 30.12
54440,8.2
35498,2.3
35557,1.1
35581,Pos.6.0
35582,Pos.7.0
35583,Pos.10.0
35584,Pos.1.0
35585,Pos.2.0
35586,Pos.3.0
35588,Pos.8.0
35590,Pos.9.0
35643,2.2.2
75171,1
75194,1.0
75195,2.0 + 3.0
75200,5.0
65448,5.1
65450,4.1
65477,6.1
45094,2.0
54572,1.0
54573,2.0
45195,2
45196,1
45200,2.0
45253,1.0
45254,3.0
45255,4.0
45256,5.0
